18,15103,3400,100,167,1,0
18,16231,3400,100,167,1,0
18,7281,3400,100,167,1,0
18,3249,3400,100,167,1,0
18,2410,3400,100,167,1,0
18,9154,3400,100,167,1,0
34,9032,13300,100,167,1,0
34,11990,13300,100,167,1,0
34,9976,13300,100,167,1,0
34,12749,13300,100,167,1,0
34,3608,13300,100,167,1,1
30,100,10233,100,333,2,0
30,100,4929,100,333,2,0
30,100,1083,100,333,2,0
30,100,9529,100,333,2,0
30,100,18153,100,333,2,0
30,100,9499,100,333,2,0
18,11500,5100,13929,9,3,0
18,11500,5100,17366,9,3,0
18,11500,5100,20363,9,3,0
18,11500,5100,20878,9,3,0
18,11500,5100,1110,9,3,1
34,11500,5100,11907,333,3,0
34,11500,5100,10769,333,3,0
34,11500,5100,15342,333,3,0
34,11500,5100,13004,333,3,0
34,11500,5100,23511,333,3,0
34,11500,5100,5733,333,3,0
30,13817,5100,5100,665,1,1
18,11500,5100,5100,724,4,0
18,11500,5100,5100,259,4,0
18,11500,5100,5100,349,4,0
18,11500,5100,5100,37,4,0
18,11500,5100,5100,619,4,0
18,11500,5100,5100,959,4,0
38,11500,6433,1110,665,0,1
18,10000,6433,1110,530,4,1
18,2582,3400,5100,9,1,0
18,19115,3400,5100,9,1,0
18,4846,3400,5100,9,1,0
18,15439,3400,5100,9,1,0
18,14576,3400,5100,9,1,0
18,4178,3400,5100,9,1,0
18,11500,6011,100,665,2,0
18,11500,10555,100,665,2,0
18,11500,5818,100,665,2,0
18,11500,12712,100,665,2,0
18,11500,5645,100,665,2,0
18,11500,2538,100,665,2,1
18,15032,5100,20100,9,1,0
18,854,5100,20100,9,1,1
18,854,14627,100,9,2,0
18,854,13153,100,9,2,0
18,854,1358,100,9,2,0
18,854,4790,100,9,2,0
18,854,5996,100,9,2,0
18,854,18977,100,9,2,0
34,13817,5100,100,870,4,0
34,13817,5100,100,632,4,0
34,13817,5100,100,841,4,0
34,13817,5100,100,340,4,0
34,13817,5100,100,567,4,0
34,13817,5100,100,316,4,0
18,11500,19379,20100,665,2,0
18,11500,19481,20100,665,2,0
18,11500,16772,20100,665,2,0
18,11500,10884,20100,665,2,0
18,11500,12046,20100,665,2,0
18,11500,15747,20100,665,2,0
18,100,3400,100,714,4,1
18,11500,6433,7961,333,3,0
18,11500,6433,5810,333,3,1
18,11500,5100,19681,665,3,1
18,11500,5100,5100,5,4,0
18,11500,5100,5100,784,4,0
18,11500,5100,5100,845,4,0
18,11500,5100,5100,807,4,0
18,11500,5100,5100,47,4,0
18,11500,5100,5100,984,4,0
18,11500,3400,14367,665,3,1
18,19755,5100,19681,9,1,0
18,17642,5100,19681,9,1,0
18,12940,5100,19681,9,1,0
18,1307,5100,19681,9,1,1
18,1307,6433,5890,9,3,0
18,1307,6433,17525,9,3,0
18,1307,6433,6087,9,3,0
18,1307,6433,23060,9,3,0
18,1307,6433,5707,9,3,0
18,1307,6433,27790,9,3,0
13,13817,5100,19681,665,0,1
18,13817,6433,20100,267,4,1
18,11500,2735,20100,665,2,1
18,11500,5100,20100,225,4,0
